Section	Label	Variable	UI	Type	Min	Max	Default	Unit	enum	Notes	Hover help text in the status bar
Network	Remove Target/Server		text button				REMOVE			For each target/server. With confirmation dialog.	Delete this Network Target.
Network	Find My Remote		text button				Find My Remote			Opens a password prompt, then sends /findDevice <password> to all REMOTE targets.	Make your Remote Flash and Buzz to Find it.
Network	Find Device Password	findDevicePassword	editable text box	STRING						Entered in the Find My Remote dialog. Stored for reuse.	Password for the Find My Remote command.
Network	Store Network Config		text button				Store Network Config			Long-press. Saves current network configuration to file and creates a backup.	Store Network Configuration to file.
Network	Reload Network Config		text button				Reload Network Config			Long-press. Reloads Network Configuration from file.	Reload Network Configuration from file.
Network	Reload Network Config Backup		text button				Reload Backup			Long-press. Reloads Network Configuration from the backup file.	Reload Network Configuration from backup file.
Network	Import Network Config		text button				Import			Long-press. Opens a file picker to import a Network Configuration.	Import Network Configuration from file.
Network	Export Network Config		text button				Export			Long-press. Opens a file picker to export the current Network Configuration.	Export Network Configuration to file.
ADM-OSC	ADM Mapping Selector		drop down menu	INT	1	8	1		Cartesian 1 ; Cartesian 2 ; Cartesian 3 ; Cartesian 4 ; Polar 1 ; Polar 2 ; Polar 3 ; Polar 4	Selects which of the 8 ADM-OSC mappings (4 Cart + 4 Polar) is shown in the editor panel.	Select an ADM-OSC mapping to configure. Cart = Cartesian (xyz), Polar = spherical (aed).
ADM-OSC	Link All Sides		toggle button	INT	0	1	0		OFF ; ON	Symmetric-edit mode. When ON, all 6 Cartesian sides (+/-X, +/-Y, +/-Z) are edited together.	Select all 6 sides at once for uniform editing.
ADM-OSC	Cart 1 Axis X Source Axis	admCartAxisSwap	drop down menu	INT	0	2			ADM X ; ADM Y ; ADM Z	For Cartesian mapping 1, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Defaults to matching axis (ADM X).	Which incoming ADM-OSC axis maps to this internal axis.
ADM-OSC	Cart 1 Axis X Invert	admCartSignFlip	toggle button	INT	0	1	0		OFF ; ON	For Cartesian mapping 1, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping.	Invert the sign of the incoming axis value.
ADM-OSC	Cart 1 Axis X Center	admCartCenterOffset	number box	FLOAT	-50.0	50.0	0.0	m		For Cartesian mapping 1, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping.	Physical position (m) where normalized 0.0 maps to.
ADM-OSC	Cart 1 Axis X Breakpoint	admCartBreakpoint	number box	FLOAT	0.01	0.99	0.5			For Cartesian mapping 1, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Normalized breakpoint of the piecewise-linear mapping.	Normalized breakpoint (0-1) for piecewise linear stretch.
ADM-OSC	Cart 1 Axis X Pos Inner Width	admCartPosInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 1, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the positive side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 1 Axis X Pos Outer Width	admCartPosOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 1, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to +1 on the positive side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 1 Axis X Neg Inner Width	admCartNegInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 1, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the negative side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 1 Axis X Neg Outer Width	admCartNegOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 1, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to -1 on the negative side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 1 Axis Y Source Axis	admCartAxisSwap	drop down menu	INT	0	2			ADM X ; ADM Y ; ADM Z	For Cartesian mapping 1, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Defaults to matching axis (ADM Y).	Which incoming ADM-OSC axis maps to this internal axis.
ADM-OSC	Cart 1 Axis Y Invert	admCartSignFlip	toggle button	INT	0	1	0		OFF ; ON	For Cartesian mapping 1, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping.	Invert the sign of the incoming axis value.
ADM-OSC	Cart 1 Axis Y Center	admCartCenterOffset	number box	FLOAT	-50.0	50.0	0.0	m		For Cartesian mapping 1, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping.	Physical position (m) where normalized 0.0 maps to.
ADM-OSC	Cart 1 Axis Y Breakpoint	admCartBreakpoint	number box	FLOAT	0.01	0.99	0.5			For Cartesian mapping 1, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Normalized breakpoint of the piecewise-linear mapping.	Normalized breakpoint (0-1) for piecewise linear stretch.
ADM-OSC	Cart 1 Axis Y Pos Inner Width	admCartPosInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 1, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the positive side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 1 Axis Y Pos Outer Width	admCartPosOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 1, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to +1 on the positive side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 1 Axis Y Neg Inner Width	admCartNegInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 1, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the negative side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 1 Axis Y Neg Outer Width	admCartNegOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 1, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to -1 on the negative side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 1 Axis Z Source Axis	admCartAxisSwap	drop down menu	INT	0	2			ADM X ; ADM Y ; ADM Z	For Cartesian mapping 1, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Defaults to matching axis (ADM Z).	Which incoming ADM-OSC axis maps to this internal axis.
ADM-OSC	Cart 1 Axis Z Invert	admCartSignFlip	toggle button	INT	0	1	0		OFF ; ON	For Cartesian mapping 1, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping.	Invert the sign of the incoming axis value.
ADM-OSC	Cart 1 Axis Z Center	admCartCenterOffset	number box	FLOAT	-50.0	50.0	0.0	m		For Cartesian mapping 1, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping.	Physical position (m) where normalized 0.0 maps to.
ADM-OSC	Cart 1 Axis Z Breakpoint	admCartBreakpoint	number box	FLOAT	0.01	0.99	0.5			For Cartesian mapping 1, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Normalized breakpoint of the piecewise-linear mapping.	Normalized breakpoint (0-1) for piecewise linear stretch.
ADM-OSC	Cart 1 Axis Z Pos Inner Width	admCartPosInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 1, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the positive side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 1 Axis Z Pos Outer Width	admCartPosOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 1, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to +1 on the positive side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 1 Axis Z Neg Inner Width	admCartNegInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 1, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the negative side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 1 Axis Z Neg Outer Width	admCartNegOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 1, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to -1 on the negative side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 2 Axis X Source Axis	admCartAxisSwap	drop down menu	INT	0	2			ADM X ; ADM Y ; ADM Z	For Cartesian mapping 2, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Defaults to matching axis (ADM X).	Which incoming ADM-OSC axis maps to this internal axis.
ADM-OSC	Cart 2 Axis X Invert	admCartSignFlip	toggle button	INT	0	1	0		OFF ; ON	For Cartesian mapping 2, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping.	Invert the sign of the incoming axis value.
ADM-OSC	Cart 2 Axis X Center	admCartCenterOffset	number box	FLOAT	-50.0	50.0	0.0	m		For Cartesian mapping 2, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping.	Physical position (m) where normalized 0.0 maps to.
ADM-OSC	Cart 2 Axis X Breakpoint	admCartBreakpoint	number box	FLOAT	0.01	0.99	0.5			For Cartesian mapping 2, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Normalized breakpoint of the piecewise-linear mapping.	Normalized breakpoint (0-1) for piecewise linear stretch.
ADM-OSC	Cart 2 Axis X Pos Inner Width	admCartPosInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 2, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the positive side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 2 Axis X Pos Outer Width	admCartPosOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 2, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to +1 on the positive side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 2 Axis X Neg Inner Width	admCartNegInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 2, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the negative side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 2 Axis X Neg Outer Width	admCartNegOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 2, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to -1 on the negative side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 2 Axis Y Source Axis	admCartAxisSwap	drop down menu	INT	0	2			ADM X ; ADM Y ; ADM Z	For Cartesian mapping 2, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Defaults to matching axis (ADM Y).	Which incoming ADM-OSC axis maps to this internal axis.
ADM-OSC	Cart 2 Axis Y Invert	admCartSignFlip	toggle button	INT	0	1	0		OFF ; ON	For Cartesian mapping 2, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping.	Invert the sign of the incoming axis value.
ADM-OSC	Cart 2 Axis Y Center	admCartCenterOffset	number box	FLOAT	-50.0	50.0	0.0	m		For Cartesian mapping 2, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping.	Physical position (m) where normalized 0.0 maps to.
ADM-OSC	Cart 2 Axis Y Breakpoint	admCartBreakpoint	number box	FLOAT	0.01	0.99	0.5			For Cartesian mapping 2, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Normalized breakpoint of the piecewise-linear mapping.	Normalized breakpoint (0-1) for piecewise linear stretch.
ADM-OSC	Cart 2 Axis Y Pos Inner Width	admCartPosInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 2, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the positive side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 2 Axis Y Pos Outer Width	admCartPosOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 2, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to +1 on the positive side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 2 Axis Y Neg Inner Width	admCartNegInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 2, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the negative side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 2 Axis Y Neg Outer Width	admCartNegOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 2, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to -1 on the negative side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 2 Axis Z Source Axis	admCartAxisSwap	drop down menu	INT	0	2			ADM X ; ADM Y ; ADM Z	For Cartesian mapping 2, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Defaults to matching axis (ADM Z).	Which incoming ADM-OSC axis maps to this internal axis.
ADM-OSC	Cart 2 Axis Z Invert	admCartSignFlip	toggle button	INT	0	1	0		OFF ; ON	For Cartesian mapping 2, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping.	Invert the sign of the incoming axis value.
ADM-OSC	Cart 2 Axis Z Center	admCartCenterOffset	number box	FLOAT	-50.0	50.0	0.0	m		For Cartesian mapping 2, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping.	Physical position (m) where normalized 0.0 maps to.
ADM-OSC	Cart 2 Axis Z Breakpoint	admCartBreakpoint	number box	FLOAT	0.01	0.99	0.5			For Cartesian mapping 2, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Normalized breakpoint of the piecewise-linear mapping.	Normalized breakpoint (0-1) for piecewise linear stretch.
ADM-OSC	Cart 2 Axis Z Pos Inner Width	admCartPosInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 2, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the positive side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 2 Axis Z Pos Outer Width	admCartPosOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 2, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to +1 on the positive side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 2 Axis Z Neg Inner Width	admCartNegInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 2, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the negative side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 2 Axis Z Neg Outer Width	admCartNegOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 2, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to -1 on the negative side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 3 Axis X Source Axis	admCartAxisSwap	drop down menu	INT	0	2			ADM X ; ADM Y ; ADM Z	For Cartesian mapping 3, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Defaults to matching axis (ADM X).	Which incoming ADM-OSC axis maps to this internal axis.
ADM-OSC	Cart 3 Axis X Invert	admCartSignFlip	toggle button	INT	0	1	0		OFF ; ON	For Cartesian mapping 3, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping.	Invert the sign of the incoming axis value.
ADM-OSC	Cart 3 Axis X Center	admCartCenterOffset	number box	FLOAT	-50.0	50.0	0.0	m		For Cartesian mapping 3, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping.	Physical position (m) where normalized 0.0 maps to.
ADM-OSC	Cart 3 Axis X Breakpoint	admCartBreakpoint	number box	FLOAT	0.01	0.99	0.5			For Cartesian mapping 3, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Normalized breakpoint of the piecewise-linear mapping.	Normalized breakpoint (0-1) for piecewise linear stretch.
ADM-OSC	Cart 3 Axis X Pos Inner Width	admCartPosInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 3, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the positive side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 3 Axis X Pos Outer Width	admCartPosOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 3, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to +1 on the positive side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 3 Axis X Neg Inner Width	admCartNegInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 3, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the negative side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 3 Axis X Neg Outer Width	admCartNegOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 3, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to -1 on the negative side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 3 Axis Y Source Axis	admCartAxisSwap	drop down menu	INT	0	2			ADM X ; ADM Y ; ADM Z	For Cartesian mapping 3, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Defaults to matching axis (ADM Y).	Which incoming ADM-OSC axis maps to this internal axis.
ADM-OSC	Cart 3 Axis Y Invert	admCartSignFlip	toggle button	INT	0	1	0		OFF ; ON	For Cartesian mapping 3, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping.	Invert the sign of the incoming axis value.
ADM-OSC	Cart 3 Axis Y Center	admCartCenterOffset	number box	FLOAT	-50.0	50.0	0.0	m		For Cartesian mapping 3, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping.	Physical position (m) where normalized 0.0 maps to.
ADM-OSC	Cart 3 Axis Y Breakpoint	admCartBreakpoint	number box	FLOAT	0.01	0.99	0.5			For Cartesian mapping 3, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Normalized breakpoint of the piecewise-linear mapping.	Normalized breakpoint (0-1) for piecewise linear stretch.
ADM-OSC	Cart 3 Axis Y Pos Inner Width	admCartPosInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 3, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the positive side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 3 Axis Y Pos Outer Width	admCartPosOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 3, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to +1 on the positive side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 3 Axis Y Neg Inner Width	admCartNegInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 3, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the negative side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 3 Axis Y Neg Outer Width	admCartNegOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 3, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to -1 on the negative side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 3 Axis Z Source Axis	admCartAxisSwap	drop down menu	INT	0	2			ADM X ; ADM Y ; ADM Z	For Cartesian mapping 3, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Defaults to matching axis (ADM Z).	Which incoming ADM-OSC axis maps to this internal axis.
ADM-OSC	Cart 3 Axis Z Invert	admCartSignFlip	toggle button	INT	0	1	0		OFF ; ON	For Cartesian mapping 3, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping.	Invert the sign of the incoming axis value.
ADM-OSC	Cart 3 Axis Z Center	admCartCenterOffset	number box	FLOAT	-50.0	50.0	0.0	m		For Cartesian mapping 3, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping.	Physical position (m) where normalized 0.0 maps to.
ADM-OSC	Cart 3 Axis Z Breakpoint	admCartBreakpoint	number box	FLOAT	0.01	0.99	0.5			For Cartesian mapping 3, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Normalized breakpoint of the piecewise-linear mapping.	Normalized breakpoint (0-1) for piecewise linear stretch.
ADM-OSC	Cart 3 Axis Z Pos Inner Width	admCartPosInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 3, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the positive side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 3 Axis Z Pos Outer Width	admCartPosOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 3, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to +1 on the positive side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 3 Axis Z Neg Inner Width	admCartNegInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 3, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the negative side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 3 Axis Z Neg Outer Width	admCartNegOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 3, internal axis Z. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to -1 on the negative side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 4 Axis X Source Axis	admCartAxisSwap	drop down menu	INT	0	2			ADM X ; ADM Y ; ADM Z	For Cartesian mapping 4, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Defaults to matching axis (ADM X).	Which incoming ADM-OSC axis maps to this internal axis.
ADM-OSC	Cart 4 Axis X Invert	admCartSignFlip	toggle button	INT	0	1	0		OFF ; ON	For Cartesian mapping 4, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping.	Invert the sign of the incoming axis value.
ADM-OSC	Cart 4 Axis X Center	admCartCenterOffset	number box	FLOAT	-50.0	50.0	0.0	m		For Cartesian mapping 4, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping.	Physical position (m) where normalized 0.0 maps to.
ADM-OSC	Cart 4 Axis X Breakpoint	admCartBreakpoint	number box	FLOAT	0.01	0.99	0.5			For Cartesian mapping 4, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Normalized breakpoint of the piecewise-linear mapping.	Normalized breakpoint (0-1) for piecewise linear stretch.
ADM-OSC	Cart 4 Axis X Pos Inner Width	admCartPosInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 4, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the positive side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 4 Axis X Pos Outer Width	admCartPosOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 4, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to +1 on the positive side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 4 Axis X Neg Inner Width	admCartNegInnerWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 4, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from center to breakpoint on the negative side.	Physical extent (m) from center to breakpoint.
ADM-OSC	Cart 4 Axis X Neg Outer Width	admCartNegOuterWidth	number box	FLOAT	0.1	50.0	5.0	m		For Cartesian mapping 4, internal axis X. Stored on ADMCartAxis child node of the Cartesian mapping. Extent from breakpoint to -1 on the negative side.	Physical extent (m) from breakpoint to +/-1.
ADM-OSC	Cart 4 Axis Y Source Axis	admCartAxisSwap	drop down menu	INT	0	2			ADM X ; ADM Y ; ADM Z	For Cartesian mapping 4, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Defaults to matching axis (ADM Y).	Which incoming ADM-OSC axis maps to this internal axis.
ADM-OSC	Cart 4 Axis Y Invert	admCartSignFlip	toggle button	INT	0	1	0		OFF ; ON	For Cartesian mapping 4, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping.	Invert the sign of the incoming axis value.
ADM-OSC	Cart 4 Axis Y Center	admCartCenterOffset	number box	FLOAT	-50.0	50.0	0.0	m		For Cartesian mapping 4, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping.	Physical position (m) where normalized 0.0 maps to.
ADM-OSC	Cart 4 Axis Y Breakpoint	admCartBreakpoint	number box	FLOAT	0.01	0.99	0.5			For Cartesian mapping 4, internal axis Y. Stored on ADMCartAxis child node of the Cartesian mapping. Normalized breakpoint of the piecewise-linear mapping.	Normalized breakpoint (0-1) for piecewise linear stretch.
