Section	Label	Variable	UI	Type	Min	Max	Default	Tier	Formula for UI elements (x from 0.0 to 1.0)	Unit	enum	Notes	OSC path	OSC "inc" or "dec" before value to increment of decrement	OSC path optional value	OSC remote path	Hover help text in the status bar	Keyboard shortcuts	Models
Channel	Delay/Latency comp.	effectDelayLatency	H bidirectional slider	FLOAT	-100.0	100.0	0.0	2	(x*200.0)-100.0	ms		Node <Channel>. Highlight 'Latency Compensation' for negative values or 'Delay' for positive values. PREFIX COLLISION: effectDelay (the FxDelay module) is a strict prefix of this name - match longest-first or compare against the Identifier.	/wfs/effect/delayLatency <ID> <value>	y	extra value is transition time in seconds		Effects Channel Delay (positive values) or Latency Compensation (negative values).		
Channel	Minimal Latency	effectMinimalLatency	Text button	INT	0	1	1	1			DISABLE ; ENABLE	Node <Channel>. NOTE THE DEFAULT: 1 here, where inputMinimalLatency defaults to 0. An effect return ships with minimal latency ON, matching the reverb feed flag.	/wfs/effect/minimalLatency <ID> <value>				Select between Acoustic Precedence and Minimal Latency for this effect return.		
Channel	Link Group	effectLinkGroup	Drop down menu	INT	0	8	0	1			Unlinked (0) ; Group 1 (1) ; Group 2 (2) ; Group 3 (3) ; Group 4 (4) ; Group 5 (5) ; Group 6 (6) ; Group 7 (7) ; Group 8 (8)	Node <Channel>. Each channel is in at most one group. Module parameters, module bypasses and chain order propagate; feeds, position, otomo and name never do. Group names come from effectsGlobalLinkNames; the absolute/relative behaviour from effectsGlobalLinkMode.	/wfs/effect/linkGroup <ID> <value>				Link this effect to a group so module edits propagate to the other members.		
Channel	Link Mode	effectLinkMode	Drop down menu	INT	0	2	1	1			Off (0) ; Absolute (1) ; Relative (2)	Node <Channel>. The MODE is per channel, the exact mirror of outputApplyToArray; effectsGlobalLinkMode is only the value a NEW channel is stamped with. Propagation consults the RECEIVER's mode as well as the origin's, so a member set to Off is skipped whichever channel the edit is made from - that is what "disengage temporarily" means. Leaving the group (effectLinkGroup = 0) is "disengage permanently"; Relative is "conserve relative offsets", and applies to continuous values only.	/wfs/effect/linkMode <ID> <value>				How this channel takes group edits: off, absolute, or relative.		
Channel	Mute	effectMute	Text button	INT	0	1	0	1			unmute ; MUTE	Node <Channel>. R4-8: mute silences the feed entering the chain and lets the chain keep running - it must not skip the sweep, or every tail would freeze. PREFIX COLLISION: effectMute is a strict prefix of effectMutes, effectMuteMacro and effectMuteReverbSends.	/wfs/effect/mute <ID> <value>				Mute this effect return.		
Channel	Solo	effectSolo	Text button (long-press)	INT	0	1	0	2			unsolo ; SOLO	Node <Channel>. Transient: applied as a mask in the calculation engine, never on the audio thread. Plan 7.3 lists it for tool_generation_ignores.json, so it is expected to be declared here and skipped by the generator.	/wfs/effect/solo <ID> <value>				Long-press to solo this effect return.		
Position	Coordinate Mode	effectCoordinateMode	drop down menu	INT	0	2	0	1			Cartesian (0) ; Cylindrical (1) ; Spherical (2)	Node <Position>. Controls how Position X/Y/Z and the Return Offsets are displayed and edited. Storage remains Cartesian internally.	/wfs/effect/coordinateMode <ID> <value>				Select Cartesian, Cylindrical, or Spherical coordinates for this effect.		
Position	Position X	effectPositionX	Number box	FLOAT	-50.0	50.0	0.0	1		m		Node <Position>. Bounds constant is effectPositionMin/Max/Default (one pair for the three axes). A NEW channel is stamped with a ring placement from layoutEffectNodes, not with this Default: a channel born at the origin stacks every return on one spot.	/wfs/effect/positionX <ID> <value>	y	extra value is transition time in seconds		Effects Channel Position in Width.	Left and Right Arrows to nudge to the left (--) or right (++) in 0.1m increments	
Position	Position Y	effectPositionY	Number box	FLOAT	-50.0	50.0	0.0	1		m		Node <Position>. Bounds constant is effectPositionMin/Max/Default (one pair for the three axes). A NEW channel is stamped with a ring placement from layoutEffectNodes, not with this Default: a channel born at the origin stacks every return on one spot.	/wfs/effect/positionY <ID> <value>	y	extra value is transition time in seconds		Effects Channel Position in Depth.	Up and Down Arrows to nudge to the upstage (++) or downstage (--) in 0.1m increments	
Position	Position Z	effectPositionZ	Number box	FLOAT	-50.0	50.0	0.0	1		m		Node <Position>. Bounds constant is effectPositionMin/Max/Default (one pair for the three axes). A NEW channel is stamped with a ring placement from layoutEffectNodes, not with this Default: a channel born at the origin stacks every return on one spot.	/wfs/effect/positionZ <ID> <value>	y	extra value is transition time in seconds		Effects Channel Position in Height.	Page Up and Page Down to nudge to the up (++) or down (--) in 0.1m increments	
Position	Return Offset X	effectReturnOffsetX	Number box	FLOAT	-50.0	50.0	0.0	1		m		Node <Position>. Bounds constant is effectReturnOffsetMin/Max/Default. Feed geometry uses the BASE position; the return uses base + otomo offset + this offset.	/wfs/effect/returnOffsetX <ID> <value>	y	extra value is transition time in seconds		Effect Return Position Offset in Width.	Left and Right Arrows to nudge to the left (--) or right (++) in 0.1m increments if holding the [shift] key	
Position	Return Offset Y	effectReturnOffsetY	Number box	FLOAT	-50.0	50.0	0.0	1		m		Node <Position>. Bounds constant is effectReturnOffsetMin/Max/Default. Feed geometry uses the BASE position; the return uses base + otomo offset + this offset.	/wfs/effect/returnOffsetY <ID> <value>	y	extra value is transition time in seconds		Effect Return Position Offset in Depth.	Up and Down Arrows to nudge to the upstage (++) or downstage (--) in 0.1m increments if holding the [shift] key	
Position	Return Offset Z	effectReturnOffsetZ	Number box	FLOAT	-50.0	50.0	0.0	1		m		Node <Position>. Bounds constant is effectReturnOffsetMin/Max/Default. Feed geometry uses the BASE position; the return uses base + otomo offset + this offset.	/wfs/effect/returnOffsetZ <ID> <value>	y	extra value is transition time in seconds		Effect Return Position Offset in Height.	Page Up and Page Down to nudge to the up (++) or down (--) in 0.1m increments if holding the [shift] key	
Feed	Orientation	effectOrientation	Rotation dial	INT	-179	180	0	1	(x*360)-180	degrees		Node <Feed> (the node type is shared with the reverb channels). A NEW channel takes the bearing from its ring placement, not this Default.	/wfs/effect/orientation <ID> <value>	y	extra value is transition time in seconds		Effect-feed horizontal orientation in degrees (integer). 0 = facing audience (-Y), 90 = facing stage right (+X), 180 = facing upstage (+Y), -179 = facing stage left (-X).		
Feed	Angle On	effectAngleOn	H range expansion slider	INT	1	180	86	1	(x*179)+1	degrees		Node <Feed>. angleOn + angleOff <= 180; adjust angleOff if angleOn is adjusted and the sum is above 180.	/wfs/effect/angleOn <ID> <value>	y	extra value is transition time in seconds		Half-angle of the rear cone where objects are fully fed to this effect, in degrees.		
Feed	Angle Off	effectAngleOff	H range expansion slider	INT	0	179	90	1	x*179	degrees		Node <Feed>. angleOn + angleOff <= 180; adjust angleOn if angleOff is adjusted and the sum is above 180.	/wfs/effect/angleOff <ID> <value>	y	extra value is transition time in seconds		Half-angle of the front cone where objects are muted, in degrees.		
Feed	Pitch	effectPitch	V bidirectional slider	INT	-90	90	0	1	(x*180)-90	degrees		Node <Feed>.	/wfs/effect/pitch <ID> <value>	y	extra value is transition time in seconds		Effect-feed vertical orientation in degrees (integer). 0 = horizontal, +90 = straight up, -90 = straight down.		
Feed	HF Damping	effectHFdamping	H slider	FLOAT	-6.0	0.0	0.0	1	(x*6.0)-6.0	dB/m		Node <Feed>. Applied on every leg (decision 3): input-to-effect and effect-to-effect. NOTE: WFS-UI_reverb.csv gives its twin the formula (x*6.0)-0.6, which does not span the -6..0 range - read as a typo there and not copied.	/wfs/effect/HFdamping <ID> <value>	y	extra value is transition time in seconds		Loss of High Frequency Depending on Distance from Object to Effect.		
Feed	Minimum Latency Enable	effectFeedMiniLatency	Text button	INT	0	1	1	1			DISABLE ; ENABLE	Node <Feed>. Distinct from effectMinimalLatency on <Channel>: this one is the feed leg, that one the return leg.	/wfs/effect/feedMiniLatency <ID> <value>				Disable Minimal Latency Mode for the feed of the selected effect.		
Feed	Distance Attenuation Percentage	effectDistanceAttenPercent	H slider	INT	0	200	100	2	x*200	%		Node <Feed>. PREFIX COLLISION: effectDist (the FxDist module) is a strict prefix of this name - match longest-first or compare against the Identifier.	/wfs/effect/distanceAttenPercent <ID> <value>	y	extra value is transition time in seconds		Ratio of Distance Attenuation for the feed of the selected effect.		
Return	Attenuation Law	effectAttenuationLaw	Text button	INT	0	1	0	1			Log (0) ; 1/d (1)	Node <Return> (the C++ identifier for this node type is ReverbReturn; its XML tag is "Return"). Ranges and defaults mirror the input channel set. The label for value 1 is taken from the identifier comment (1 = 1/d); WFS-UI_input.csv prints its twin as 1/d².	/wfs/effect/attenuationLaw <ID> <value>				Attenuation Law Model for the effect return.		
Return	Distance Attenuation	effectDistanceAttenuation	Dial	FLOAT	-6.0	0.0	-0.7	1	(x*6.0)-6.0	dB/m		Node <Return>. Visible if effectAttenuationLaw == 0 (shares the position of Distance Ratio). PREFIX COLLISION: effectDist swallows this name.	/wfs/effect/distanceAttenuation <ID> <value>	y	extra value is transition time in seconds		Attenuation per Meter Between the Effect Return and a Speaker.		
Return	Distance Ratio	effectDistanceRatio	Dial	FLOAT	0.1	10.0	1.0	1	pow(10.0,(x*2.0)-1.0)	x		Node <Return>. Visible if effectAttenuationLaw == 1. PREFIX COLLISION: effectDist swallows this name.	/wfs/effect/distanceRatio <ID> <value>	y	extra value is transition time in seconds		Attenuation Ratio for the 1/d Model.		
Return	Common Attenuation	effectCommonAtten	Dial	INT	0	100	100	2	x*100	%		Node <Return>.	/wfs/effect/commonAtten <ID> <value>	y	extra value is transition time in seconds		Percentage of the Common Part of the Attenuation for this Effect Return Relative to All Outputs.		
Return	HF Shelf	effectHFshelf	H slider	FLOAT	-24.0	0.0	-6.0	1	20*log10(pow(10,-24./20.)+((1-pow(10,-24./20.))*pow(x,2)))	dB		Node <Return>. Directivity term of the return, as on an input channel.	/wfs/effect/HFshelf <ID> <value>	y	extra value is transition time in seconds		How Much Brightness is lost Behind the Effect Return, Out of its Brightness Cone.		
Return	Mutes	effectMutes	Panel of square toggles	STRING				1				Node <Return>. A packed comma-separated row, one 0 (unmuted) or 1 (muted) per output, built at channel-creation time from the live output count. DELIBERATELY UNBOUNDED - effectMutes has no Min/Max/Default constant, so the write interceptor never clamps the row into a scalar. Row form only: the 3-argument reverb form is broken today and is not copied.	/wfs/effect/mutes <ID> "<csv>"				Mute Selectively the Output of an Effect Return to a Speaker. One comma-separated list for all outputs, e.g. 0,1,0,0.		
Return	Mute Macros	effectMuteMacro	Selector (1 to 5)	INT	0	4	0	1			Mute Macro Select (0) ; MUTE ALL (1) ; UNMUTE ALL (2) ; INVERT MUTES (3) ; MUTE ODD (4)	Node <Return>. Close panel after selection; temporary switches. RANGE DIFFERS FROM THE REVERB AND INPUT TWINS: effectMuteMacroMax is 4, where reverbMuteMacro and inputMuteMacro run 0..25 (MUTE EVEN plus ten array pairs). The five labels above are the first five of that list; the code's ceiling of 4 is what is transcribed here.	/wfs/effect/muteMacro <ID> <value>				Mute Macros for Fast Muting and Unmuting of the Effect Return.		
Return	Mute Reverb Sends	effectMuteReverbSends	Text button	INT	0	1	0	1			OFF ; ON	Node <Return>. Return rows get an in x reverb feed like inputs; this skips it.	/wfs/effect/muteReverbSends <ID> <value>				Mute All Reverb Sends for this Effect Return.		
Return	Array 1 Attenuation	effectArrayAtten1	Dial	FLOAT	-60.0	0.0	0.0	2	dB = 20*log10(0.001 + x^2 * 0.999)	dB		Node <Return>. The per-array trim of this effect return, mirroring inputArrayAtten1. Level 3 of the three matrix levels carries a per-output MUTE and this per-ARRAY trim and nothing else: a return is a WFS render source, so its per-output gains are SOLVED from the geometry of the return position against each speaker, and a free per-output level would overwrite the spatialisation that makes the return localise where its marker sits. Dimmed if no outputs assigned to Array 1.	/wfs/effect/arrayAtten1 <ID> <value>		extra value is transition time in seconds		Per-Array Attenuation of this Effect Return for Array 1. Dimmed if Array has No Outputs Assigned.		
Return	Array 2 Attenuation	effectArrayAtten2	Dial	FLOAT	-60.0	0.0	0.0	2	dB = 20*log10(0.001 + x^2 * 0.999)	dB		Node <Return>. The per-array trim of this effect return, mirroring inputArrayAtten2. Level 3 of the three matrix levels carries a per-output MUTE and this per-ARRAY trim and nothing else: a return is a WFS render source, so its per-output gains are SOLVED from the geometry of the return position against each speaker, and a free per-output level would overwrite the spatialisation that makes the return localise where its marker sits. Dimmed if no outputs assigned to Array 2.	/wfs/effect/arrayAtten2 <ID> <value>		extra value is transition time in seconds		Per-Array Attenuation of this Effect Return for Array 2. Dimmed if Array has No Outputs Assigned.		
Return	Array 3 Attenuation	effectArrayAtten3	Dial	FLOAT	-60.0	0.0	0.0	2	dB = 20*log10(0.001 + x^2 * 0.999)	dB		Node <Return>. The per-array trim of this effect return, mirroring inputArrayAtten3. Level 3 of the three matrix levels carries a per-output MUTE and this per-ARRAY trim and nothing else: a return is a WFS render source, so its per-output gains are SOLVED from the geometry of the return position against each speaker, and a free per-output level would overwrite the spatialisation that makes the return localise where its marker sits. Dimmed if no outputs assigned to Array 3.	/wfs/effect/arrayAtten3 <ID> <value>		extra value is transition time in seconds		Per-Array Attenuation of this Effect Return for Array 3. Dimmed if Array has No Outputs Assigned.		
Return	Array 4 Attenuation	effectArrayAtten4	Dial	FLOAT	-60.0	0.0	0.0	2	dB = 20*log10(0.001 + x^2 * 0.999)	dB		Node <Return>. The per-array trim of this effect return, mirroring inputArrayAtten4. Level 3 of the three matrix levels carries a per-output MUTE and this per-ARRAY trim and nothing else: a return is a WFS render source, so its per-output gains are SOLVED from the geometry of the return position against each speaker, and a free per-output level would overwrite the spatialisation that makes the return localise where its marker sits. Dimmed if no outputs assigned to Array 4.	/wfs/effect/arrayAtten4 <ID> <value>		extra value is transition time in seconds		Per-Array Attenuation of this Effect Return for Array 4. Dimmed if Array has No Outputs Assigned.		
Return	Array 5 Attenuation	effectArrayAtten5	Dial	FLOAT	-60.0	0.0	0.0	2	dB = 20*log10(0.001 + x^2 * 0.999)	dB		Node <Return>. The per-array trim of this effect return, mirroring inputArrayAtten5. Level 3 of the three matrix levels carries a per-output MUTE and this per-ARRAY trim and nothing else: a return is a WFS render source, so its per-output gains are SOLVED from the geometry of the return position against each speaker, and a free per-output level would overwrite the spatialisation that makes the return localise where its marker sits. Dimmed if no outputs assigned to Array 5.	/wfs/effect/arrayAtten5 <ID> <value>		extra value is transition time in seconds		Per-Array Attenuation of this Effect Return for Array 5. Dimmed if Array has No Outputs Assigned.		
Return	Array 6 Attenuation	effectArrayAtten6	Dial	FLOAT	-60.0	0.0	0.0	2	dB = 20*log10(0.001 + x^2 * 0.999)	dB		Node <Return>. The per-array trim of this effect return, mirroring inputArrayAtten6. Level 3 of the three matrix levels carries a per-output MUTE and this per-ARRAY trim and nothing else: a return is a WFS render source, so its per-output gains are SOLVED from the geometry of the return position against each speaker, and a free per-output level would overwrite the spatialisation that makes the return localise where its marker sits. Dimmed if no outputs assigned to Array 6.	/wfs/effect/arrayAtten6 <ID> <value>		extra value is transition time in seconds		Per-Array Attenuation of this Effect Return for Array 6. Dimmed if Array has No Outputs Assigned.		
Return	Array 7 Attenuation	effectArrayAtten7	Dial	FLOAT	-60.0	0.0	0.0	2	dB = 20*log10(0.001 + x^2 * 0.999)	dB		Node <Return>. The per-array trim of this effect return, mirroring inputArrayAtten7. Level 3 of the three matrix levels carries a per-output MUTE and this per-ARRAY trim and nothing else: a return is a WFS render source, so its per-output gains are SOLVED from the geometry of the return position against each speaker, and a free per-output level would overwrite the spatialisation that makes the return localise where its marker sits. Dimmed if no outputs assigned to Array 7.	/wfs/effect/arrayAtten7 <ID> <value>		extra value is transition time in seconds		Per-Array Attenuation of this Effect Return for Array 7. Dimmed if Array has No Outputs Assigned.		
Return	Array 8 Attenuation	effectArrayAtten8	Dial	FLOAT	-60.0	0.0	0.0	2	dB = 20*log10(0.001 + x^2 * 0.999)	dB		Node <Return>. The per-array trim of this effect return, mirroring inputArrayAtten8. Level 3 of the three matrix levels carries a per-output MUTE and this per-ARRAY trim and nothing else: a return is a WFS render source, so its per-output gains are SOLVED from the geometry of the return position against each speaker, and a free per-output level would overwrite the spatialisation that makes the return localise where its marker sits. Dimmed if no outputs assigned to Array 8.	/wfs/effect/arrayAtten8 <ID> <value>		extra value is transition time in seconds		Per-Array Attenuation of this Effect Return for Array 8. Dimmed if Array has No Outputs Assigned.		
Return	Array 9 Attenuation	effectArrayAtten9	Dial	FLOAT	-60.0	0.0	0.0	2	dB = 20*log10(0.001 + x^2 * 0.999)	dB		Node <Return>. The per-array trim of this effect return, mirroring inputArrayAtten9. Level 3 of the three matrix levels carries a per-output MUTE and this per-ARRAY trim and nothing else: a return is a WFS render source, so its per-output gains are SOLVED from the geometry of the return position against each speaker, and a free per-output level would overwrite the spatialisation that makes the return localise where its marker sits. Dimmed if no outputs assigned to Array 9.	/wfs/effect/arrayAtten9 <ID> <value>		extra value is transition time in seconds		Per-Array Attenuation of this Effect Return for Array 9. Dimmed if Array has No Outputs Assigned.		
Return	Array 10 Attenuation	effectArrayAtten10	Dial	FLOAT	-60.0	0.0	0.0	2	dB = 20*log10(0.001 + x^2 * 0.999)	dB		Node <Return>. The per-array trim of this effect return, mirroring inputArrayAtten10. Level 3 of the three matrix levels carries a per-output MUTE and this per-ARRAY trim and nothing else: a return is a WFS render source, so its per-output gains are SOLVED from the geometry of the return position against each speaker, and a free per-output level would overwrite the spatialisation that makes the return localise where its marker sits. Dimmed if no outputs assigned to Array 10.	/wfs/effect/arrayAtten10 <ID> <value>		extra value is transition time in seconds		Per-Array Attenuation of this Effect Return for Array 10. Dimmed if Array has No Outputs Assigned.		
AutomOtion	Destination X	effectOtomoX	Number box	FLOAT	-50.0	50.0	0.0	1		m		Node <AutomOtion>. Return-only (decision 9): the set is the inputOtomo* set minus StayReturn, and it moves an OFFSET on top of the base position. Feed geometry follows the base position, the return follows base + offset. Bounds constant is effectOtomoMin/Max/Default (one pair for the three axes).	/wfs/effect/otomoX <ID> <value>	y			Relative or Absolute Destination X.		
AutomOtion	Destination Y	effectOtomoY	Number box	FLOAT	-50.0	50.0	0.0	1		m		Node <AutomOtion>. Return-only (decision 9): the set is the inputOtomo* set minus StayReturn, and it moves an OFFSET on top of the base position. Feed geometry follows the base position, the return follows base + offset. Bounds constant is effectOtomoMin/Max/Default (one pair for the three axes).	/wfs/effect/otomoY <ID> <value>	y			Relative or Absolute Destination Y.		
AutomOtion	Destination Z	effectOtomoZ	Number box	FLOAT	-50.0	50.0	0.0	1		m		Node <AutomOtion>. Return-only (decision 9): the set is the inputOtomo* set minus StayReturn, and it moves an OFFSET on top of the base position. Feed geometry follows the base position, the return follows base + offset. Bounds constant is effectOtomoMin/Max/Default (one pair for the three axes).	/wfs/effect/otomoZ <ID> <value>	y			Relative or Absolute Destination Z.		
AutomOtion	Coordinate Mode	effectOtomoCoordinateMode	drop down menu	INT	0	2	0	1			Cartesian (0) ; Cylindrical (1) ; Spherical (2)	Node <AutomOtion>. Return-only (decision 9): the set is the inputOtomo* set minus StayReturn, and it moves an OFFSET on top of the base position. Feed geometry follows the base position, the return follows base + offset. ADDITION over the input set: inputOtomoCoordinateMode carries a Default only, this one carries a Min/Max pair so BIND_I can bound it.	/wfs/effect/otomoCoordinateMode <ID> <value>				Coordinate Display Mode for the AutomOtion destination.		
AutomOtion	Destination Radius	effectOtomoR	Number box	FLOAT	0.0	50.0	0.0	1		m		Node <AutomOtion>. Return-only (decision 9): the set is the inputOtomo* set minus StayReturn, and it moves an OFFSET on top of the base position. Feed geometry follows the base position, the return follows base + offset. Converts to X/Y internally.	/wfs/effect/otomoR <ID> <value>	y			Distance from Origin in XY Plane (Cylindrical Coordinates).		
AutomOtion	Destination Azimuth	effectOtomoTheta	Number box	FLOAT	-3600.0	3600.0	0.0	1		°		Node <AutomOtion>. Return-only (decision 9): the set is the inputOtomo* set minus StayReturn, and it moves an OFFSET on top of the base position. Feed geometry follows the base position, the return follows base + offset. Allows up to 10 full rotations.	/wfs/effect/otomoTheta <ID> <value>	y			Angle from Audience Direction. Unrestricted for Path Rotations.		
AutomOtion	Destination Radius 3D	effectOtomoRsph	Number box	FLOAT	0.0	50.0	0.0	1		m		Node <AutomOtion>. Return-only (decision 9): the set is the inputOtomo* set minus StayReturn, and it moves an OFFSET on top of the base position. Feed geometry follows the base position, the return follows base + offset. Converts to X/Y/Z internally.	/wfs/effect/otomoRsph <ID> <value>	y			Distance from Origin in 3D Space (Spherical Coordinates).		
AutomOtion	Destination Elevation	effectOtomoPhi	Number box	FLOAT	-3600.0	3600.0	0.0	1		°		Node <AutomOtion>. Return-only (decision 9): the set is the inputOtomo* set minus StayReturn, and it moves an OFFSET on top of the base position. Feed geometry follows the base position, the return follows base + offset. Allows up to 10 full rotations.	/wfs/effect/otomoPhi <ID> <value>	y			Elevation Angle. Unrestricted for Path Rotations.		
AutomOtion	Absolute / Relative	effectOtomoAbsoluteRelative	Text button	INT	0	1	0	1			Absolute (0) ; Relative (1)	Node <AutomOtion>. Return-only (decision 9): the set is the inputOtomo* set minus StayReturn, and it moves an OFFSET on top of the base position. Feed geometry follows the base position, the return follows base + offset.	/wfs/effect/otomoAbsoluteRelative <ID> <value>				Select Relative or Absolute Coordinates of Displacement.		
AutomOtion	Speed Profile	effectOtomoSpeedProfile	Dial	INT	0	100	0	1	x*100	%		Node <AutomOtion>. Return-only (decision 9): the set is the inputOtomo* set minus StayReturn, and it moves an OFFSET on top of the base position. Feed geometry follows the base position, the return follows base + offset.	/wfs/effect/otomoSpeedProfile <ID> <value>	y			Constant Speed or Gradual Acceleration and Slow Down at the Start and the End of the Movement.		
AutomOtion	Duration	effectOtomoDuration	Dial	FLOAT	0.1	3600.0	5.0	1	pow(10.0,sqrt(x)*3.556-1.0)	s		Node <AutomOtion>. Return-only (decision 9): the set is the inputOtomo* set minus StayReturn, and it moves an OFFSET on top of the base position. Feed geometry follows the base position, the return follows base + offset.	/wfs/effect/otomoDuration <ID> <value>	y			Duration of the Movement in Seconds (0.1s to 1 hour).		
AutomOtion	Curve	effectOtomoCurve	Bipolar Dial	INT	-100	100	0	1	(x*200)-100	%		Node <AutomOtion>. Return-only (decision 9): the set is the inputOtomo* set minus StayReturn, and it moves an OFFSET on top of the base position. Feed geometry follows the base position, the return follows base + offset.	/wfs/effect/otomoCurve <ID> <value>	y			Bend the Path to the Left (Negative) or Right (Positive) of the Direction of Travel.		
AutomOtion	Trigger	effectOtomoTrigger	Text button	INT	0	1	0	1			Manual (0) ; Trigger (1)	Node <AutomOtion>. Return-only (decision 9): the set is the inputOtomo* set minus StayReturn, and it moves an OFFSET on top of the base position. Feed geometry follows the base position, the return follows base + offset.	/wfs/effect/otomoTrigger <ID> <value>				Manual Start of Displacement or Automatic Trigger on the Audio Level.		
AutomOtion	Trigger Threshold	effectOtomoThreshold	Dial	FLOAT	-92.0	0.0	-20.0	1	20*log10(pow(10,-92./20.)+((1-pow(10,-92./20.))*pow(x,2)))	dB		Node <AutomOtion>. Return-only (decision 9): the set is the inputOtomo* set minus StayReturn, and it moves an OFFSET on top of the base position. Feed geometry follows the base position, the return follows base + offset. Greyed out but editable when effectOtomoTrigger == 0 (Manual).	/wfs/effect/otomoThreshold <ID> <value>	y			Set the Threshold for the Automatic Trigger of the Movement.		
AutomOtion	Trigger Reset	effectOtomoReset	Dial	FLOAT	-92.0	0.0	-60.0	1	20*log10(pow(10,-92./20.)+((1-pow(10,-92./20.))*pow(x,2)))	dB		Node <AutomOtion>. Return-only (decision 9): the set is the inputOtomo* set minus StayReturn, and it moves an OFFSET on top of the base position. Feed geometry follows the base position, the return follows base + offset. Greyed out but editable when effectOtomoTrigger == 0 (Manual).	/wfs/effect/otomoReset <ID> <value>	y			Set the Reset Level for the Automatic Trigger. Movement Will Not Start Unless the Audio Level Falls Below this Value.		
AutomOtion	Pause / Resume	effectOtomoPauseResume	Pause button	INT	0	1	1	1			Paused (0) ; Resume (1)	Node <AutomOtion>. Return-only (decision 9): the set is the inputOtomo* set minus StayReturn, and it moves an OFFSET on top of the base position. Feed geometry follows the base position, the return follows base + offset. Interaction only possible when the movement is running.	/wfs/effect/otomoPauseResume <ID> <value>				Pause and Resume the Movement.		
L.F.O	Active	effectLFOactive	Text button	INT	0	1	0	1			OFF ; ON	Node <LFO>. Return-only, like the AutomOtion block: the input LFO set minus gyrophone (an effect return has no brightness cone to rotate), and it moves an OFFSET on top of the base position, added to the AutomOtion offset by the calculation engine. Feed geometry follows the base position, the return follows base + offsets.	/wfs/effect/LFOactive <ID> <value>				Enable or Disable the Periodic Movement of the Effect Return (LFO).		
